,video_id,model1score,normal,dv
0,v8W8OtCDm0Q,0.014045198,523311.305669897,1007920.1429
1,Q4uyI03p8_0,0.10515263,3319234.4827654995,3109534.5714
2,oODnaSO7ttw,0.0041186796,218684.2958763796,546157.7143
3,B2ttDb5c4tw,0.042589586,1399287.2234435992,983923.4286
4,Qb_u2M9Wrsk,0.008860387,364198.765503553,515842.4286
5,k19jPvLeans,0.03211869,1077954.2299146291,1425718.5714
6,MV4-1C87hSA,0.065302014,2096290.7893618166,1918029.2857
7,DdpXDYFG8dg,0.016342327,593806.0490131614,597855.2857
8,gF06-Rhoo-k,0.02927575,990709.5601409156,1331358.5714
9,yTAVliGh-oM,0.018640677,664338.261542208,727754.0
10,IRgRpiF68B0,0.14457925,4529166.4512294885,2770935.4286
11,haw87QzPbmw,0.013885138,518399.3269168317,431071.7143
12,KHfP3InQc94,0.3663513,11334952.061862195,7732991.7143
13,IDKzukLrDH4,0.0070355507,308197.8234523245,946176.8571
14,WVU7TUBZki8,0.48559397,14994295.063950265,5373421.7143
15,gim2kprjL50,0.6584102,20297713.915011514,18493543.7143
16,PFbhJJBWBI0,0.023049776,799645.5790725762,672872.4286
17,pM3stM3uI00,0.040086277,1322465.160730092,1558922.5714
18,AMPa3339G5I,0.052840274,1713862.3878041292,1422688.7143
19,IRfQI9Y6EK0,0.08888531,2820019.630732318,2034938.8571
20,Q6-ybNjUe6A,0.06847299,2193602.294704801,1841985.1429
21,mH5NPrJK1KE,0.010265263,407311.8795795164,171362.5714
22,gXl0zgUhsAU,0.054551315,1766371.150295352,2108950.0
23,pWZ9ZVRQ0Nw,0.039450735,1302961.520660492,2241467.0
24,UOSOgsb2IeA,0.006819226,301559.20402751333,297391.0
25,BNro3uBlqVg,0.051958825,1686812.3222471706,1933467.8571
26,aQZObPme23Q,0.03101505,1044085.5156412942,1684021.5714
27,gk6Wdpdosig,0.08309849,2642432.724171106,2659964.1429
28,SDCMos-4QQE,0.03373129,1127442.0214392797,3323898.0
29,g5eTeJ4BYcI,0.1252534,3936090.802941498,3722013.1429
30,JeTkMdw6RK8,0.28622094,8875895.185122369,11330646.8571
31,cGTvda920M4,0.007552001,324046.7602968159,315187.5714
32,TWGvntl9itE,0.49967152,15426309.574346935,5467064.0
33,vU0YSKg7En0,0.05764895,1861431.989397318,1889084.4286
34,hjPS3j5XNss,0.12594359,3957271.553477687,3157997.5714
35,6FFbHUdOeMI,0.02544058,873015.0463773425,577055.7143
36,usvf-N17TgA,0.040716313,1341799.8322059896,1137828.0
37,YI-zGZyYxc8,0.036690414,1218252.237210758,1095239.8571
38,Om0rYw6qzb8,0.29389098,9111275.066852832,9124179.2857
39,yRRucU27TJQ,0.0458651,1499806.8456177642,1459936.2857
